id,make_id,model_id,submodel_id,trim_id,year,make,model,series,submodel,trim,trim_description,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission
22783,33,6588,64925,22783,2015,Lexus,RX350,,F Sport,350 F SPORT,350 F SPORT 4dr SUV AWD (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,270,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic
19910,33,6588,66447,19910,2016,Lexus,RX350,,Base,350,350 4dr SUV (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
19911,33,6588,66447,19911,2016,Lexus,RX350,,Base,350,350 4dr SUV AWD (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic
19912,33,6588,66448,19912,2016,Lexus,RX350,,F Sport,350 F SPORT,350 F SPORT 4dr SUV AWD (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic
17020,33,6588,68047,17020,2017,Lexus,RX350,,Base,350,350 4dr SUV (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,268.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
17021,33,6588,68047,17021,2017,Lexus,RX350,,Base,350,350 4dr SUV AWD (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,268.0,4700.0,24,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic
17022,33,6588,68048,17022,2017,Lexus,RX350,,F Sport,350 F SPORT,350 F SPORT 4dr SUV (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,295,6300.0,268.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
22747,33,6587,64923,22747,2015,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
22748,33,6587,64923,22748,2015,Lexus,ES350,,Base,350 Crafted Line,350 Crafted Line 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
19879,33,6587,66446,19879,2016,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
16989,33,6587,68046,16989,2017,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
14033,33,6587,69682,14033,2018,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
10926,33,6587,71380,10926,2019,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,302,6600.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
10929,33,6587,71381,10929,2019,Lexus,ES350,,F Sport,350 F SPORT,350 F SPORT 4dr Sedan (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,302,6600.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
10927,33,6587,71382,10927,2019,Lexus,ES350,,Luxury,350 Luxury,350 Luxury 4dr Sedan (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,302,6600.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
10928,33,6587,71383,10928,2019,Lexus,ES350,,Ultra Luxury,350 Ultra Luxury,350 Ultra Luxury 4dr Sedan (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,302,6600.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
8028,33,6587,73114,8028,2020,Lexus,ES350,,Base,350,350 4dr Sedan (3.5L 6cyl 8A),gas,regular unleaded,V6,3.5,302,6600.0,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic
22749,33,6589,64939,22749,2015,Lexus,GS350,,Base,350,350 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,306,6400.0,277.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
22750,33,6589,64939,22750,2015,Lexus,GS350,,Base,350,350 4dr Sedan AWD (3.5L 6cyl 6A),gas,premium unleaded (required),V6,3.5,306,6400.0,277.0,4800.0,24,Variable,Double overhead cam (DOHC),all wheel drive,6-speed shiftable automatic
22751,33,6589,64939,22751,2015,Lexus,GS350,,Base,350 Crafted Line,350 Crafted Line 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,306,6400.0,277.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
22752,33,6589,64939,22752,2015,Lexus,GS350,,Base,350 Crafted Line,350 Crafted Line 4dr Sedan AWD (3.5L 6cyl 6A),gas,premium unleaded (required),V6,3.5,306,6400.0,277.0,4800.0,24,Variable,Double overhead cam (DOHC),all wheel drive,6-speed shiftable automatic
19882,33,6589,66466,19882,2016,Lexus,GS350,,Base,350,350 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
19883,33,6589,66466,19883,2016,Lexus,GS350,,Base,350,350 4dr Sedan AWD (3.5L 6cyl 6A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),all wheel drive,6-speed shiftable automatic
19884,33,6589,66467,19884,2016,Lexus,GS350,,F Sport,350 F SPORT,350 F SPORT 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
16992,33,6589,68066,16992,2017,Lexus,GS350,,Base,350,350 4dr Sedan AWD (3.5L 6cyl 6A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),all wheel drive,6-speed shiftable automatic
16993,33,6589,68066,16993,2017,Lexus,GS350,,Base,350,350 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
16994,33,6589,68067,16994,2017,Lexus,GS350,,F Sport,350 F SPORT,350 F SPORT 4dr Sedan (3.5L 6cyl 8A),gas,premium unleaded (required),V6,3.5,311,6400.0,280.0,4800.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic
